QuestionID,ChapterID,SubtopicID,QuestionNo,Question,OptionA,OptionB,OptionC,OptionD,Year,Answer,Explanation,HasImage
533,10,38,48,Certain quantity of water cools from $70^{\circ} \mathrm{C}$ to $60^{\circ} \mathrm{C}$ in the first 5 minutes and to $54^{\circ} \mathrm{C}$ in the next 5 minutes. The temperature of the surroundings is:,"(a) $45^{\circ} \mathrm{C}$
","(b) $20^{\circ} \mathrm{C}$
","(c) $42^{\circ} \mathrm{C}$
",(d) $10^{\circ} \mathrm{C}$,2014-01-01,a,"Let the temperature of surroundings be $\theta_0$ By Newton's law of cooling
$$
\begin{aligned}
& \frac{\theta_1-\theta_2}{\mathrm{t}}=\mathrm{k}\left[\frac{\theta_1+\theta_2}{2}-\theta_0\right] \\
\Rightarrow & \frac{70-60}{5}=\mathrm{k}\left[\frac{70+60}{2}-\theta_0\right] \\
\Rightarrow & 2=\mathrm{k}\left[65-\theta_0\right]
\end{aligned}
$$
Similarly, $\frac{60-54}{5}=\mathrm{k}\left[\frac{60+54}{2}-\theta_0\right]$
$\Rightarrow \quad \frac{6}{5}=\mathrm{k}\left[57-\theta_0\right]$
By dividing (i) by (ii) we have
$$
\frac{10}{6}=\frac{65-\theta_0}{57-\theta_0} \Rightarrow \theta_0=45^{\circ}
$$",False
562,11,40,27,". If $\mathrm{Q}, \mathrm{E}$ and $\mathrm{W}$ denote respectively the heat added, change in internal energy and the work done in a closed cyclic process, then:",$\mathrm{W}=0$,$\mathrm{Q}=\mathrm{W}=0$,$\mathrm{E}=0$,$\mathrm{Q}=0$,2008-01-01,c,"27. (c) In a cyclic process, the initial state coincides with the final state. Hence, the change in internal energy is zero, as it depends only on the initial and final states.
In case of cyclic process, $\mathrm{u}_f=\mathrm{u}_i \therefore \Delta \mathrm{u}=\mathrm{u}_f-\mathrm{u}_i=0$ And also $\Delta \mathrm{u} \propto \Delta T \therefore \Delta T=0$",False
596,12,42,8,"The equation of state, corresponding to $8 \mathrm{~g}$ of $\mathrm{O}_2$ is",$P V=8 R T$, $P V=R T / 4$, $P V=R T$, $P V=R T / 2$,1994-01-01,b,"$8 \mathrm{~g}$ of oxygen is equivalent to (1/4) mole.
So, $P V=\frac{1}{4} R T$",False
597,12,42,9,"According to kinetic theory of gases, at absolute zero temperature",water freezes,liquid helium freezes,molecular motion stops,liquid hydrogen freezes,1990-01-01,c,(c),False
772,14,52,76,"A car is moving towards a high cliff. The car driver sounds a horn of frequency $f$. The reflected sound heard by the driver has frequency $2 f$. If $v$ be the velocity of sound, then the velocity of the car, in the same velocity units, will be","$v / 2$
",$v / \sqrt{ } 2$,$v / 3$,$v / 4$,2004-01-01,c,"Let $f^{\prime}$ be the frequency of sound heard by cliff.
$\therefore f=\frac{v f}{v-v_c}$
Now, for the reflected wave, cliff acts as a source,
$\therefore 2 f=\frac{f^{\prime}\left(\mathrm{v}+\mathrm{v}_{\mathrm{c}}\right)}{v}$
$2 f=\frac{\left(v+v_{\mathrm{c}}\right) f}{v-v_c}$ $\Rightarrow 2 v-2 v_c=v+v_{\mathrm{c}}$ or $\frac{v}{3}=v_c$",False
855,16,58,33," A series combination of $n_1$ capacitors, each of value $C_1$, is charged by a source of potential difference $4 \mathrm{~V}$. When another parallel combination of $n_2$ capacitors, each of value $C_2$, is charged by a source of potential difference $V$, it has the same (total) energy stored in it, as the first combination has. The value of $C_2$, in terms of $C_1$, is then", $\frac{2 C_1}{n_1 n_2}$,$16 \frac{n_2}{n_1} C_1$,$2 \frac{n_2}{n_1} C_1$,$\frac{16 C_1}{n_1 n_2}$,2010-01-01,d,"In series, $\mathrm{C}_{\mathrm{eff}}=\frac{C_1}{n_1}$
$\therefore \quad$ Energy stored,
$E_S=\frac{1}{2} C_{e f f} V_S^2=\frac{1}{2} \frac{C_1}{n_1} 16 V^2$
$=8 V^2 \frac{C_1}{n_1}$
In parallel, $\mathrm{C}_{\mathrm{eff}}=\mathrm{n}_2 \mathrm{C}_2$
$\therefore \quad$ Energy stored, $\mathrm{E}_{\mathrm{p}}=\frac{1}{2} \mathrm{n}_2 \mathrm{C}_2 \mathrm{~V}^2$
According to question $\mathrm{E}_{\mathrm{s}}=\mathrm{E}_{\mathrm{p}}$
$\therefore \quad \frac{8 V^2 C_1}{n_1}=\frac{1}{2} n_2 C_2 V^2$
$\Rightarrow C_2=\frac{16 C_1}{n_1 n_2}$",False
881,17,59,10,A wire of a certain material is stretched slowly by ten per cent. Its new resistance and specific resistance become respectively:,"(a) 1.2 times, 1.3 times","(b) 1.21 times, same",(c) both remain the same,"(d) 1.1 times, 1.1 times",2008-01-01,b,"Resistance of a wire is given by $\mathrm{R}=\mathrm{r} \frac{\mathrm{l}}{\mathrm{a}}$

If the length is increased by $10 \%$ then new

length $l^{\prime}=l+\frac{1}{10}=\frac{11}{10} l$

In that case, area of cross-section of wire would decrease by $10 \%$

$\therefore$ New area of cross-section

$\mathrm{A}^{\prime}=\mathrm{A}-\frac{\mathrm{A}}{10}=\frac{9}{10} \mathrm{~A}$ $\therefore \mathrm{R}^{\prime}=\mathrm{r} \frac{\ell^{\prime}}{\mathrm{A}^{\prime}}=\mathrm{r} \frac{\frac{11}{10} l}{\frac{9}{10} \mathrm{~A}}$

$\mathrm{R}^{\prime}=\frac{11}{9} \mathrm{r} \frac{l}{\mathrm{R}} \quad \mathrm{R}^{\prime}=1.21 \mathrm{R}$

The new resistance increases by 1.21 times. The specific resistance (resistivity) remains unchanged as it depends on the nature of the material of the wire.

After stretching if length of a conductor increases by $x \%$ then resistance will increase by $2 x \%$ (Valid only if $x<10 \%$ )",False
1047,18,66,61,"A rectangular coil of length $0.12 \mathrm{~m}$ and width 0.1 $\mathrm{m}$ having 50 turns of wire is suspended vertically in a uniform magnetic field of strength 0.2 weber/ $\mathrm{m}^2$. The coil carries a current of $2 \mathrm{~A}$. If the plane of the coil is inclined at an angle of $30^{\circ}$ with the direction of the field, the torque required to keep the coil in stable equilibrium will be :",$0.20 \mathrm{Nm}$,$0.24 \mathrm{Nm}$,$0.12 \mathrm{Nm}$,$0.15 \mathrm{Nm}$,2015-01-01,a,"61. (a) Here, number of turns of coil, $\mathrm{N}=50$

Current through the coil $\mathrm{I}=2 \mathrm{~A}$

Area $\mathrm{A}=l \times \mathrm{b}=0.12 \times 0.1 \mathrm{~m}^{2}=0.012 \mathrm{~m}^{2}$

Magnetic field $\vec{B}=0.2 \mathrm{~W} / \mathrm{m}^{2}$

![](https://cdn.mathpix.com/cropped/2024_01_04_815f12cc2181cf1d0d72g-247.jpg?height=333&width=379&top_left_y=1690&top_left_x=1293)

Torque required to keep the coil in stable equilibrium.

$$
\begin{aligned}
& \tau=\overrightarrow{\mathrm{M}} \times \overrightarrow{\mathrm{B}}=\mathrm{MB} \sin 60^{\circ}=\mathrm{Ni} \mathrm{AB} \sin 60^{\circ} \\
& =50 \times 2 \times 0.12 \times 0.1 \times 0.2 \times \frac{\sqrt{3}}{2} \\
& =12 \sqrt{3} \times 10^{-2}=0.20784 \mathrm{Nm}
\end{aligned}
$$",True
1125,20,72,21," The magnetic potential energy stored in a certain inductor is $25 \mathrm{~mJ}$, when the current in the inductor is $60 \mathrm{~mA}$. This inductor is of inductanc", $0.138 \mathrm{H}$,$138.88 \mathrm{H}$,$13.89 \mathrm{H}$, $1.389 \mathrm{H}$,2018-01-01,c,"From question energy stored in inductor, $\mathrm{U}=25 \times 10^{-3} \mathrm{~J}$
Current, $\mathrm{I}=60 \mathrm{~mA}$
Energy stored in inductor $U=\frac{1}{2} L I^2$
$25 \times 10^{-3}=\frac{1}{2} \times L \times\left(60 \times 10^{-3}\right)^2$
$\mathrm{L}=\frac{25 \times 2 \times 10^6 \times 10^{-3}}{3600}=13.89 \mathrm{Hm}$",False
1141,20,72,37, The total charge induced in a conducting loop when it is moved in a magnetic field depends on, the rate of change of magnetic flux, initial magnetic flux only,the total change in magnetic flux,final magnetic flux only,1990-01-01,c,"$e=\frac{d \phi}{d t} ; i=\frac{e}{R}=\frac{1}{R} \frac{d \phi}{d t}$
Total charge induced $=\int i d t=\int \frac{1}{R} \frac{d \phi}{d t} \cdot d t$
$$
=\frac{1}{R} \int_{\phi_1}^{\phi_2} d \phi=\frac{1}{R}\left(\phi_2-\phi_1\right)
$$",False
1319,24,85,23,The Brewsters angle $i_b$ for an interface should be,$30^{\circ}<\mathrm{i}_{\mathrm{b}}<45^{\circ}$,$45^{\circ}<\mathrm{i}_{\mathrm{b}}<90^{\circ}$,$\mathrm{i}_{\mathrm{b}}=90^{\circ}$,$0^{\circ}<\mathrm{i}_{\mathrm{b}}<30^{\circ}$,2020-01-01,b,"23. (b) According to Brewster's law, when a beam of unpolarised light is reflected from a transparent medium of refractive index $\left(\mu_2\right)$, the reflected light is completely polarised at certain angle of incidence called the angle of polarisation $\left(i_b\right)$.
$$
\tan i_b=\frac{\mu_2}{\mu_1}
$$
For air, $\mu_1=1$
$\therefore \tan i_b=\mu_2>1$
$\Rightarrow \tan i_b>1 \Rightarrow 90^{\circ}>i_b>45^{\circ}$",False
1418,26,88,2,. An alpha nucleus of energy $\frac{1}{2} m v^2$ bombards a heavy nuclear target of charge $Z e$. Then the distance of closest approach for the alpha nucleus will be proportional to,$\frac{1}{Z e}$,b) $v^2$,) $\frac{1}{m}$,$\frac{1}{v^4}$,2010-01-01,c,"c) Kinetic energy of alpha nucleus is equall to electrostatic potential energy of the system of the alpha particle and the heavy nucleus. That is,
$\frac{1}{2} m v^2=\frac{1}{4 \pi \varepsilon_0} \frac{q_\alpha Z e}{r_0}$
where $r_0$ is the distance of closest approach
$r_0=\frac{2}{4 \pi \varepsilon_0} \frac{q_\alpha Z e}{m v^2}$
$\Rightarrow r_0 \propto Z e \propto q_\alpha \propto \frac{1}{m} \propto \frac{1}{v^2}$
Hence, correct option is (c).",False
1661,28,95,96,"The output from a NAND gate is divided into two in parallel and fed to another NAND gate. The resulting gate is a
",NOT gate,AND gate,NOR gate,OR gate,2013-01-01,b,"$C^{\prime}=\overline{A \cdot B} \Rightarrow C=\overline{\overline{A \cdot B}}=A \cdot B$
Hence the resultant gate is AND gate.",True
1699,29,96,22,"The number of significant figures for the three numbers $161 \mathrm{~cm}, 0.161 \mathrm{~cm}, 0.0161 \mathrm{~cm}$ are","(a) 3, 4 and 5 respectively","(b) 3,4 and 4 respectively","(c) 3,3 and 4 respectively","(d) 3, 3 and 3 respectively",1998-01-01,d,"(d) Number $161 \mathrm{~cm}, 0.161 \mathrm{~cm}$ and $0.0161 \mathrm{~cm} h a v e$ 3,3 and 3 significant figures respectively.

A All non-zero digits are significant and the zeros at the beginning of a number are not significant.",False
1941,32,109,98,Which of the following species contains equal number of $\sigma$ - and $\pi$-bonds :,(a) $\mathrm{XeO}_{4}$,(b) $(\mathrm{CN})_{2}$,(c) $\mathrm{CH}_{2}(\mathrm{CN})_{2}$,(d) $\mathrm{HCO}_{3}^{-}$,2015-01-01,a,"(a)<smiles>O=S(=O)([O-])O</smiles>

Number of $\sigma$ bonds $=4$

Number of $\pi$ bonds $=4$",True
2049,34,115,24,"Given that bond energies of $\mathrm{H}-\mathrm{H}$ and $\mathrm{Cl}-\mathrm{Cl}$ are $430 \mathrm{~kJ} \mathrm{~mol}^{-1}$ and $240 \mathrm{~kJ} \mathrm{~mol}^{-1}$ respectively and $\Delta H_{f}$ for $\mathrm{HCl}$ is $-90 \mathrm{~kJ} \mathrm{~mol}^{-1}$, bond enthalpy of $\mathrm{HCl}$ is",(a) $380 \mathrm{~kJ} \mathrm{~mol}^{-1}$,(b) $425 \mathrm{~kJ} \mathrm{~mol}^{-1}$,(c) $245 \mathrm{~kJ} \mathrm{~mol}^{-1}$,(d) $290 \mathrm{~kJ} \mathrm{~mol}^{-1}$,2007-01-01,b,"(b) $\frac{1}{2} \mathrm{H}_{2}+\frac{1}{2} \mathrm{Cl}_{2} \longrightarrow \mathrm{HCl}$

$\Delta H_{\mathrm{HCl}}=\sum$ B.E. of reactant

$$
-\sum \text { B.E. of products }
$$

$-90=\frac{1}{2} \times 430+\frac{1}{2} \times 240-$ B.E. of $\mathrm{HCl}$

$\therefore$ B.E. of $\mathrm{HCl}=215+120+90$

$$
=425 \mathrm{~kJ} \mathrm{~mol}^{-1}
$$",False
2108,35,118,7,"For the reaction $\mathrm{N}_2(\mathrm{~g})+\mathrm{O}_2(\mathrm{~g}) \rightleftharpoons 2 \mathrm{NO}(\mathrm{g})$, the equilibrium constant is $K_1$. The equilibrium constant is $K_2$ for the reaction
[2011]
$$
2 \mathrm{NO}(\mathrm{g})+\mathrm{O}_2(\mathrm{~g}) \rightleftharpoons 2 \mathrm{NO}_2(\mathrm{~g}) \text {. }
$$
What is $K$ for the reaction
$$
\mathrm{NO}_2(\mathrm{~g}) \rightleftharpoons \frac{1}{2} \mathrm{~N}_2(\mathrm{~g})+\mathrm{O}_2(\mathrm{~g}) \text { ? }
$$", $1 /\left(2 K_1 K_2\right)$,$1 /\left(4 K_1 K_2\right)$, $\left[1 / K_1 K_2\right]^{1 / 2}$, $1 /\left(K_1 K_2\right)$,2011-01-01,c,"$$
\begin{aligned}
& \mathrm{N}_2(\mathrm{~g})+\mathrm{O}_2(\mathrm{~g}) \rightleftharpoons 2 \mathrm{NO}(\mathrm{g}) \\
& K_1=\frac{[\mathrm{NO}]^2}{\left[\mathrm{~N}_2\right]\left[\mathrm{O}_2\right]}
\end{aligned}
$$
For the reaction
$$
\begin{aligned}
& 2 \mathrm{NO}(\mathrm{g})+\mathrm{O}_2(\mathrm{~g}) \rightleftharpoons 2 \mathrm{NO}_2(\mathrm{~g}) \\
& K_2=\frac{\left[\mathrm{NO}_2\right]^2}{\left[\mathrm{NO}^2\left[\mathrm{O}_2\right]\right.}
\end{aligned}
$$
For the reaction
$$
\begin{aligned}
& \mathrm{NO}_2(\mathrm{~g}) \rightleftharpoons \frac{1}{2} \mathrm{~N}_2(\mathrm{~g})+\mathrm{O}_2(\mathrm{~g}) \\
& K=\frac{\left[\mathrm{N}_2\right]^{\frac{1}{2}}\left[\mathrm{O}_2\right]}{\left[\mathrm{NO}_2\right]}
\end{aligned}
$$
Hence, $K=\sqrt{\frac{1}{K_1} \times \frac{1}{K_2}}$
$K=\frac{\left[\mathrm{N}_2\right]^{\frac{1}{2}}\left[\mathrm{O}_2\right]^{\frac{1}{2}}}{[\mathrm{NO}]} \times \frac{[\mathrm{NO}]\left[\mathrm{O}_2\right]^{\frac{1}{2}}}{\left[\mathrm{NO}_2\right]}=\frac{\left[\mathrm{N}_2\right]^{\frac{1}{2}}\left[\mathrm{O}_2\right]}{\left[\mathrm{NO}_2\right]}$",False
2146,35,120,45,Which of the following molecules acts as a Lewis acid?,$\left(\mathrm{CH}_{3}\right)_{2} \mathrm{O}$,$\left(\mathrm{CH}_{3}\right)_{3} \mathrm{P}$, $\left(\mathrm{CH}_{3}\right)_{3} \mathrm{~N}$,$\left(\mathrm{CH}_{3}\right)_{3} \mathrm{~B}$ ,2009-01-01,d,"$\left(\mathrm{CH}_3\right)_3 \mathrm{~B}-$ is an electron deficient, thus behave as a lewis acid.",False
2179,35,122,78,"The values of $K_{s p}$ of $\mathrm{CaCO}_3$ and $\mathrm{CaC}_2 \mathrm{O}_4$ are $4.7 \times 10^{-9}$ and $1.3 \times 10^{-9}$ respectively at $25^{\circ} \mathrm{C}$. If the mixture of these two is washed with water, what is the concentration of $\mathrm{Ca}^{2+}$ ions in water?",$7.746 \times 10^{-5} \mathrm{M}$, $5.831 \times 10^{-5} \mathrm{M}$,$6.856 \times 10^{-5} \mathrm{M}$,$3.606 \times 10^{-5} \mathrm{M}$,2013-01-01,a,"$\mathrm{CaCO}_3 \longrightarrow \mathrm{Ca}_x^{2+}+\mathrm{CO}_3^{2-}$
$\mathrm{CaC}_2 \mathrm{O}_4 \longrightarrow \underset{y}{\mathrm{Ca}^{2+}}+\mathrm{C}_2 \mathrm{O}_4^{2-}$
$\therefore\left[\mathrm{Ca}^{2+}\right]=x+y$
Now, $K_{s p}\left(\mathrm{CaCO}_3\right)=\left[\mathrm{Ca}^{2+}\right]\left[\mathrm{CO}_3^{2-}\right]$
or $4.7 \times 10^{-9}=(x+y) x$
similarly, $K_{s p}\left(\mathrm{CaC}_2 \mathrm{O}_4\right)=\left[\mathrm{Ca}^{2+}\right]\left[\mathrm{C}_2 \mathrm{O}_4^{2-}\right]$
or $1.3 \times 10^{-9}=(x+y) y$
On solving, we get
$\left[\mathrm{Ca}^{2+}\right]=7.746 \times 10^{-5} \mathrm{M}$",False
2206,36,123,1,$\mathrm{Zn}$ gives $\mathrm{H}_2$ gas with $\mathrm{H}_2 \mathrm{SO}_4$ and $\mathrm{HCl}$ but not with $\mathrm{HNO}_3$ because ,$\mathrm{Zn}$ acts as an oxidising agent when it reacts with $\mathrm{HNO}_3$,$\mathrm{HNO}_3$ is weaker acid than $\mathrm{H}_2 \mathrm{SO}_4$ and $\mathrm{HCl}$,"In electrochemical series, $\mathrm{Zn}$ is above hydrogen",$\mathrm{NO}_3^{-}$is reduced in preference to hydronium ion,2002-01-01,d,"1. (d) Zinc gives $\mathrm{H}_2$ gas with dil $\mathrm{H}_2 \mathrm{SO}_4 / \mathrm{HCl}$ but not with $\mathrm{HNO}_3$ because in $\mathrm{HNO}_3, \mathrm{NO}_3{ }^{-}$ion is reduced and give $\mathrm{NH}_4 \mathrm{NO}_3, \mathrm{~N}_2 \mathrm{O}, \mathrm{NO}$ and $\mathrm{NO}_2$
$$
\left[\mathrm{Zn}+\underset{(\text { nearly } 6 \%)}{2 \mathrm{HNO}_3} \longrightarrow \mathrm{Zn}\left(\mathrm{NO}_3\right)_3+2 \mathrm{H}\right] \times 4
$$
$$
\begin{aligned}
& \mathrm{HNO}_3+8 \mathrm{H} \longrightarrow \mathrm{NH}_3+3 \mathrm{H}_2 \mathrm{O} \\
& \mathrm{NH}_3+\mathrm{HNO}_3 \longrightarrow \mathrm{NH}_4 \mathrm{NO}_3 \\
& 4 \mathrm{Zn}+10 \mathrm{HNO}_3 \longrightarrow 4 \mathrm{Zn}\left(\mathrm{NO}_3\right)_2+\mathrm{NH}_4 \mathrm{NO}_3+3 \mathrm{H}_2 \mathrm{O}
\end{aligned}
$$
$\mathrm{Zn}$ is above of hydrogen in electrochemical series. So, $\mathrm{Zn}$ displaces $\mathrm{H}_2$ from dilute $\mathrm{H}_2 \mathrm{SO}_4$ and $\mathrm{HCl}$ with liberation of $\mathrm{H}_2$.
$$
\mathrm{Zn}+\mathrm{H}_2 \mathrm{SO}_4 \rightarrow \mathrm{ZnSO}_4+\mathrm{H}_2
$$",False
2307,39,135,13,Which of the following is not correct about carbon monoxide?,(a) It reduces oxygen carrying ability of blood.,(b) The carboxyhaemoglobin (haemoglobin bound to $\mathrm{CO}$ ) is less stable than oxyhaemoglobin.,(c) It is produced due to incomplete combustion.,(d) It forms carboxyhaemoglobin,2020-01-01,b," The carboxyhaemoglobin (haemoglobin bound to $\mathrm{CO}$ ), is about 300 times more stable than oxygaemoglobin.",False
